weather_condition,day_count,average_daily_crime_count,median_daily_crime_count,no_event_average_daily_crime_count,absolute_difference_from_no_event,percent_difference_from_no_event
no event,872,1034.1100917431193,1032,1034.1100917431193,0.0,0.0
rain,716,1062.9259776536312,1060,1034.1100917431193,28.815885910511952,2.7865394739489724
snow,239,903.3849372384938,901,1034.1100917431193,-130.7251545046255,-12.641318902929594
