k,silhouette_score,training_cost,minimum_cluster_size,maximum_cluster_size,average_dominant_district_share
2,0.4961928506718677,29473.59977255455,7187,8355,0.12484527011459366
3,0.4900254415405837,22350.365135219912,3737,6078,0.12561131228195965
4,0.4423267999896757,18450.282920420977,2677,4829,0.12807907472604038
5,0.3972037798581423,16946.460549949497,2110,4424,0.17098469299663607
6,0.4371828824282784,13808.681417289965,2195,2976,0.21364154623408424
