weather_date,crime_count,average_temperature_f,reported_precipitation_inches,average_relative_humidity,average_wind_speed_mph,has_reported_weather_event,has_precipitation,has_rain,has_snow,has_thunderstorm
2008-02-10,820,1.5833333333333333,0.0,50.604166666666664,19.0625,0,0,0,0,0
2008-02-11,847,5.878472222222222,0.048,62.055555555555564,5.590277777777778,1,1,0,1,0
2008-02-12,788,18.03472222222222,0.05900000000000001,79.26458333333333,11.143749999999999,1,1,0,1,0
2008-02-13,1006,15.583333333333334,0.002,70.77083333333333,7.229166666666667,0,1,0,0,0
2008-02-14,1076,27.85763888888889,0.005,77.26736111111111,12.204861111111112,1,1,0,1,0
2008-02-15,1116,18.67361111111111,0.0,57.701388888888886,9.583333333333334,0,0,0,0,0
2008-02-16,1057,24.0,0.0,58.0,6.104166666666667,1,0,0,0,0
2008-02-17,1023,39.83819444444444,0.793,88.75208333333332,15.113888888888887,1,1,1,1,1
2008-02-18,959,18.895833333333332,0.023,70.92013888888889,18.975694444444443,1,1,0,1,0
2008-02-19,963,10.25,0.003,66.70833333333333,13.423611111111109,1,1,0,1,0
2008-02-20,969,13.371527777777777,0.006,59.142361111111114,10.708333333333334,1,1,0,1,0
2008-02-21,996,17.760416666666664,0.011,65.73958333333333,6.9618055555555545,1,1,0,1,0
2008-02-22,1119,25.3125,0.005,73.47916666666667,5.958333333333333,1,1,0,1,0
2008-02-23,1066,26.840277777777775,0.0,66.90972222222221,3.840277777777778,0,0,0,0,0
2008-02-24,982,28.979166666666668,0.0,76.125,6.979166666666667,1,0,0,0,0
2008-02-25,1057,32.50694444444444,0.29400000000000004,93.15972222222221,6.871527777777779,1,1,1,1,0
2008-02-26,1060,27.122222222222224,0.07800000000000001,73.91458333333334,15.498611111111108,1,1,0,1,0
2008-02-27,1048,20.304347826086957,0.0,60.43478260869565,8.833333333333334,0,0,0,0,0
2008-02-28,936,19.979166666666668,0.012,63.013888888888886,6.291666666666667,1,1,0,1,0
