threshold,true_positive,false_positive,false_negative,precision,recall,f1_score
0.2,366604,1053009,0,0.2582422110814708,1.0,0.41048092141100434
0.3,362723,996413,3881,0.2668776340263226,0.9894136452411867,0.4203680739856525
0.4,279844,334974,86760,0.4551655937204181,0.7633413710706921,0.5702827122277675
0.5,168949,10581,197655,0.941062775023673,0.4608487632431725,0.6187089615369121
0.6,132779,846,233825,0.9936688493919551,0.36218644641084113,0.5308728602300147
0.7,132752,839,233852,0.9937196368018804,0.3621127974599295,0.5308009876148302
0.8,132752,839,233852,0.9937196368018804,0.3621127974599295,0.5308009876148302
