model_name,validation_strategy,temporal_cutoff_year,true_positive,false_positive,false_negative,true_negative,precision,recall,specificity,f1_score,balanced_accuracy,area_under_roc,area_under_pr
unweighted_random_forest,seeded_random_holdout,0,132752,839,233852,1052170,0.9937196368018804,0.3621127974599295,0.999203235679847,0.5308009876148302,0.6806580165698883,0.8133157952273538,0.7454629696667795
weighted_random_forest,seeded_random_holdout,0,168949,10581,197655,1042428,0.941062775023673,0.4608487632431725,0.9899516528348761,0.6187089615369121,0.7254002080390243,0.8184911775318992,0.7402829182312674
weighted_gradient_boosted_trees,seeded_random_holdout,0,213286,43436,153318,1009573,0.8308053069078615,0.5817885238568046,0.9587505899759641,0.6843481581066728,0.7702695569163843,0.8477121671301288,0.7784766544839294
weighted_random_forest,temporal_holdout,2020,34371,10933,59814,612090,0.7586747307081052,0.3649307214524606,0.9824516911895709,0.4928130533590461,0.6736912063210158,0.795151647435927,0.5530118475521049
weighted_logistic_regression,seeded_random_holdout,0,204479,26310,162125,1026699,0.8859997660200443,0.5577653271650064,0.9750144585658812,0.6845711282187772,0.7663898928654438,0.8341910255412921,0.7650047609155535
majority_class_baseline,seeded_random_holdout,0,0,0,366604,1053009,0.0,0.0,1.0,0.0,0.5,0.5,0.2582422110814708
